"vector_size","exec_time","sd_time","peak_ram","function_name"
10,3.144565e-05,0.000274803962782852,0,"fasterWilcox"
100,1.111606e-05,3.34257919573518e-05,0,"fasterWilcox"
1000,0.00010499117,4.97701385963521e-05,0.0999999999999943,"fasterWilcox"
10000,0.00143862021,0.000200271420752811,0,"fasterWilcox"
1e+05,0.02144903227,0.00287173717824639,0,"fasterWilcox"
10,2.457521e-05,0.000142378573266698,0,"fastWilcox"
100,8.838071e-05,2.31430154196256e-05,0,"fastWilcox"
1000,0.00108483072,0.000257317742704201,0.0999999999999943,"fastWilcox"
10000,0.01961154495,0.00315251023482492,0,"fastWilcox"
1e+05,0.44902517373,0.0318969984001072,0,"fastWilcox"
10,5.529181e-05,0.000131806590199252,0,"gficf"
100,4.366191e-05,1.33030409237926e-05,0.0999999999999943,"gficf"
1000,0.00025306853,3.3219129734724e-05,0.199999999999989,"gficf"
10000,0.00274369634,0.00129025641709085,1.80000000000001,"gficf"
1e+05,0.04427279031,0.0995777179131779,16.7,"gficf"
10,3.906667e-05,6.93689526730122e-05,0,"gficf_parallel"
10,1.3643e-05,2.30508644641682e-05,0,"gficf_parallel"
100,8.003385e-05,5.01845514362344e-05,0,"gficf_parallel"
100,1.498987e-05,1.35022115956175e-05,0,"gficf_parallel"
1000,0.00025527538,4.64764665518698e-05,0,"gficf_parallel"
1000,0.00012178341,1.94608062084989e-05,0,"gficf_parallel"
10000,0.0025310449,0.00156017951973822,0.0999999999999943,"gficf_parallel"
10000,0.00160622409,0.000175339332569452,0,"gficf_parallel"
1e+05,0.01672800929,0.00377801693912832,1.5,"gficf_parallel"
1e+05,0.02423008282,0.00223652628257128,0,"gficf_parallel"
